"gene","A5","A9","A17","A21","A29","A33"
"Solyc00g025500",0,0,0,0,0,0
"Solyc00g025510",0,0,0,0,0,0
"Solyc00g025520",0,0,0,0,0,0
"Solyc00g025530",0,0,0,0,0,0
"Solyc00g025540",0,0,0,0,0,0
"Solyc00g025650",0,0,0,0,0,0
"Solyc00g025660",0,0,0,0,0,0
"Solyc00g026160",4,15,9,1,2,1442
"Solyc00g026860",0,0,0,0,0,0
"Solyc00g026870",0,0,0,0,0,0
"Solyc00g026880",0,0,0,0,0,0
"Solyc00g026890",0,0,0,0,0,0
"Solyc00g026900",0,0,0,0,0,0
"Solyc00g027120",0,0,1,0,1,0
"Solyc00g027130",0,2,1,0,0,1
"Solyc00g027140",1,3,2,0,1,0
"Solyc00g027640",0,0,0,0,0,0
"Solyc00g027650",0,0,0,0,0,0
"Solyc00g027660",0,0,0,0,0,0
"Solyc00g027670",0,0,0,0,0,0
"Solyc00g027770",104,251,145,328,199,620
"Solyc00g027870",7,2,5,0,8,1
"Solyc00g027970",0,0,0,0,0,0
"Solyc00g027980",0,0,0,0,0,0
"Solyc00g027990",0,0,0,0,0,0
"Solyc00g028090",0,0,0,0,0,0
"Solyc00g028100",0,0,0,0,0,0
"Solyc00g028110",0,0,0,0,0,0
"Solyc00g028120",0,0,0,0,0,0
"Solyc00g028420",7,1,8,0,9,0
"Solyc00g028520",0,0,0,0,0,0
"Solyc00g028530",0,0,0,0,0,0
"Solyc00g028540",0,0,0,0,0,0
"Solyc00g028550",0,0,0,0,0,0
"Solyc00g028560",0,0,0,0,0,0
"Solyc00g028760",121,15,210,19,187,13
"Solyc00g028960",0,0,0,0,0,0
"Solyc00g029060",0,0,0,0,0,0
"Solyc00g029070",0,0,0,0,0,0
"Solyc00g029080",0,0,0,0,0,0
"Solyc00g029090",0,0,0,0,0,0
"Solyc00g029190",0,0,0,0,0,0
"Solyc00g029290",0,0,0,0,0,0
"Solyc00g029300",0,0,0,0,0,0
"Solyc00g029500",1,0,0,0,0,0
"Solyc00g029800",0,0,0,0,0,0
"Solyc00g030000",3,0,0,0,0,0
"Solyc00g030100",0,1,5,3,0,2
"Solyc00g030110",0,0,0,0,0,0
"Solyc00g030210",0,0,0,0,0,0
"Solyc00g030510",0,1,2,1,0,0
"Solyc00g030520",218,232,174,111,306,459
"Solyc00g030820",3,0,0,6,4,0
"Solyc00g031020",0,0,0,0,0,0
"Solyc00g031030",0,0,0,0,0,0
"Solyc00g031040",0,0,0,0,0,0
"Solyc00g031050",0,0,0,0,0,0
"Solyc00g031060",0,0,0,0,0,0
"Solyc00g031360",0,0,0,0,0,0
"Solyc00g031370",0,0,0,0,0,0
"Solyc00g031380",0,0,0,0,0,0
"Solyc00g031390",0,0,0,0,0,0
"Solyc00g031490",0,0,0,0,0,0
"Solyc00g031500",0,0,0,0,0,0
"Solyc00g031700",0,0,0,0,0,0
"Solyc00g031710",0,0,0,0,0,0
"Solyc00g031720",0,0,0,0,0,0
"Solyc00g031730",0,0,0,0,0,0
"Solyc00g032030",8,0,4,0,5,0
"Solyc00g032230",0,0,0,0,0,0
"Solyc00g032940",0,0,1,0,2,0
"Solyc00g033460",0,0,0,0,1,0
"Solyc00g033860",0,0,0,0,0,0
"Solyc00g033870",0,0,0,0,0,0
"Solyc00g033880",0,0,0,0,0,0
"Solyc00g033890",0,0,0,0,0,0
"Solyc00g033990",0,0,0,0,0,0
"Solyc00g034000",0,0,0,0,0,0
"Solyc00g034010",0,0,0,0,0,0
"Solyc00g034810",0,0,0,0,0,0
"Solyc00g035010",0,0,0,0,0,0
"Solyc00g035020",0,0,0,0,0,0
"Solyc00g036320",569,83,755,54,722,42
"Solyc00g036520",62,77,67,185,58,182
"Solyc00g036530",4,2,0,0,0,6
"Solyc00g036540",1,2,3,6,0,0
"Solyc00g036740",0,0,0,0,0,0
"Solyc00g036750",2,1,2,1,1,1
"Solyc00g036760",0,0,0,0,0,0
"Solyc00g036960",202,29,175,13,337,6
"Solyc00g038390",0,0,0,0,0,0
"Solyc00g039290",129,8,104,1,192,33
"Solyc00g039990",162,173,125,123,177,266
"Solyc00g040290",0,0,0,0,0,0
"Solyc00g040390",0,0,0,0,0,0
"Solyc00g040490",162,6,36,0,204,7
"Solyc00g041090",9,8,12,5,5,80
"Solyc00g041190",0,0,0,0,0,0
"Solyc00g041200",0,0,0,0,0,0
"Solyc00g041210",0,0,0,0,0,0
"Solyc00g041220",0,0,0,0,0,0
"Solyc00g042120",0,0,0,0,0,0
"Solyc00g042130",0,0,0,0,0,0
"Solyc00g042140",0,0,0,0,0,0
"Solyc00g042640",45,3,16,5,26,3
"Solyc00g042840",21,2,21,0,21,0
"Solyc00g042850",0,0,0,0,3,0
"Solyc00g044350",5,0,7,1,0,9
"Solyc00g044550",0,0,0,0,0,0
"Solyc00g044750",267,78,288,28,348,96
"Solyc00g045570",4,3,5,5,8,0
"Solyc00g046570",29,15,33,1,35,5
"Solyc00g046580",17,6,19,0,13,0
"Solyc00g046980",4,1,2,0,3,0
"Solyc00g047180",16,44,27,95,18,135
"Solyc00g047190",1,1,4,14,6,5
"Solyc00g047200",3,12,4,11,1,12
"Solyc00g047700",588,112,273,213,846,86
"Solyc00g047810",0,1,0,0,0,0
"Solyc00g048410",8,9,6,15,4,0
"Solyc00g048510",3,0,1,0,0,0
"Solyc00g049210",2645,7569,2358,14761,2967,20215
"Solyc00g049220",2,2,14,5,2,6
"Solyc00g049520",0,1,0,2,1,5
"Solyc00g049620",1,0,0,0,0,0
"Solyc00g049920",0,0,0,0,0,0
"Solyc00g050020",0,0,0,0,0,0
"Solyc00g050030",0,0,0,0,0,0
"Solyc00g050130",45,59,53,58,38,120
"Solyc00g050430",7,2,0,3,3,0
"Solyc00g052430",1827,3132,2159,6828,1978,10439
"Solyc00g052530",47,47,52,124,76,105
"Solyc00g052540",3,23,18,22,16,42
"Solyc00g052940",1,28,0,12,7,68
"Solyc00g053440",114,267,106,299,184,775
"Solyc00g053740",20,2,29,1,29,4
"Solyc00g055940",0,0,0,0,0,0
"Solyc00g055950",0,0,0,0,0,0
"Solyc00g055960",0,0,0,0,0,0
"Solyc00g055970",0,0,0,0,0,0
"Solyc00g055980",0,0,0,0,0,0
"Solyc00g056180",0,0,0,0,0,0
"Solyc00g056680",17,13,17,29,24,14
"Solyc00g057280",4,3,4,0,14,0
"Solyc00g057880",21,11,8,12,29,14
"Solyc00g058280",7,4,13,2,13,0
"Solyc00g058480",102,11,147,8,170,5
"Solyc00g058490",1,0,0,0,1,0
"Solyc00g058890",0,0,0,0,0,0
"Solyc00g058900",0,0,0,0,0,0
"Solyc00g059100",541,403,445,649,555,607
"Solyc00g059500",79,74,55,125,121,165
"Solyc00g060700",0,0,0,0,0,0
"Solyc00g060710",0,0,0,0,0,0
"Solyc00g060810",0,0,0,0,0,0
"Solyc00g062710",0,1,0,0,0,0
"Solyc00g063110",12,0,0,0,12,0
"Solyc00g063510",0,0,0,0,0,0
"Solyc00g065510",0,0,0,0,0,0
"Solyc00g065610",0,0,0,0,0,0
"Solyc00g065620",0,0,0,0,0,0
"Solyc00g065630",0,0,0,0,0,0
"Solyc00g065930",0,0,0,0,0,0
"Solyc00g065940",0,0,0,0,0,0
"Solyc00g066140",0,0,0,0,0,0
"Solyc00g066150",0,0,0,0,0,0
"Solyc00g066350",1,0,0,0,0,0
"Solyc00g066360",2,1,1,0,0,0
"Solyc00g066370",0,0,0,0,0,0
"Solyc00g067470",0,0,2,0,0,0
"Solyc00g068970",387,106400,17451,4937,548,12977
"Solyc00g068980",261,658,1253,2839,381,1576
"Solyc00g069680",0,0,0,0,0,0
"Solyc00g069880",217,576,417,1102,235,1065
"Solyc00g070680",33,15,40,7,33,10
"Solyc00g071180",28,20,2,0,7,0
"Solyc00g071580",0,0,0,0,0,0
"Solyc00g071590",0,0,0,0,0,0
"Solyc00g071600",0,0,0,0,0,0
"Solyc00g072100",25,17,9,11,38,47
"Solyc00g072400",0,0,0,0,0,0
"Solyc00g072800",14,79,29,148,29,142
"Solyc00g073200",49,12,47,0,32,0
"Solyc00g073900",0,0,0,0,0,0
"Solyc00g073910",0,0,0,0,0,0
"Solyc00g074210",2,1,0,0,3,0
"Solyc00g074810",0,0,0,0,0,0
"Solyc00g074820",0,0,0,0,0,0
"Solyc00g074830",0,0,0,0,0,0
"Solyc00g075030",4,5,14,0,11,8
"Solyc00g075040",16,5,5,5,10,4
"Solyc00g075440",3,5,17,1,2,9
"Solyc00g075450",0,0,0,0,0,0
"Solyc00g076250",1,0,0,0,2,0
