GO_term,locusName,fx
GO:0005618,Solyc02g083830,Cellular Component:cell wall
GO:0005618,Solyc01g067410,Cellular Component:cell wall
GO:0005618,Solyc03g123630,Cellular Component:cell wall
GO:0005618,Solyc12g098610,Cellular Component:cell wall
GO:0005618,Solyc11g040140,Cellular Component:cell wall
GO:0005618,Solyc01g099630,Cellular Component:cell wall
GO:0005618,Solyc07g064180,Cellular Component:cell wall
GO:0005618,Solyc03g078100,Cellular Component:cell wall
GO:0005618,Solyc08g078640,Cellular Component:cell wall
GO:0005618,Solyc05g054360,Cellular Component:cell wall
GO:0005618,Solyc10g049450,Cellular Component:cell wall
GO:0005622,Solyc11g021130,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc06g068710,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc09g059310,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc08g028890,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc07g063960,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc01g007460,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc04g080630,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc05g012240,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc04g009540,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc06g068030,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc04g010240,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc11g072260,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc02g094200,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc01g104470,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc08g067950,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc11g040220,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc02g067350,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc08g007140,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc04g063280,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc08g074240,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc02g088920,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc09g074560,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc11g056310,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc06g083300,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc10g084700,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc03g083290,Cellular Component:intracellular anatomical structure
