GO_term,locusName,fx
GO:0000737,Solyc09g007210,"Biological Process:obsolete DNA catabolic process, endonucleolytic"
GO:0000737,Solyc07g065440,"Biological Process:obsolete DNA catabolic process, endonucleolytic"
GO:0000737,Solyc08g081590,"Biological Process:obsolete DNA catabolic process, endonucleolytic"
GO:0000737,Solyc07g065430,"Biological Process:obsolete DNA catabolic process, endonucleolytic"
GO:0000910,Solyc05g015320,Biological Process:cytokinesis
GO:0000910,Solyc07g064970,Biological Process:cytokinesis
GO:0000910,Solyc04g008290,Biological Process:cytokinesis
GO:0000910,Solyc01g096680,Biological Process:cytokinesis
GO:0000910,Solyc12g014490,Biological Process:cytokinesis
GO:0000910,Solyc01g091380,Biological Process:cytokinesis
GO:0000910,Solyc01g005080,Biological Process:cytokinesis
GO:0000910,Solyc11g072280,Biological Process:cytokinesis
GO:0000910,Solyc03g007130,Biological Process:cytokinesis
GO:0001510,Solyc09g014320,Biological Process:RNA methylation
GO:0001510,Solyc02g070030,Biological Process:RNA methylation
GO:0001510,Solyc11g020820,Biological Process:RNA methylation
GO:0001510,Solyc11g020810,Biological Process:RNA methylation
GO:0001510,Solyc10g046930,Biological Process:RNA methylation
GO:0001522,Solyc04g081920,Biological Process:pseudouridine synthesis
GO:0001522,Solyc02g080320,Biological Process:pseudouridine synthesis
GO:0001522,Solyc07g017260,Biological Process:pseudouridine synthesis
GO:0001522,Solyc07g042750,Biological Process:pseudouridine synthesis
GO:0001522,Solyc02g062520,Biological Process:pseudouridine synthesis
GO:0001522,Solyc03g097550,Biological Process:pseudouridine synthesis
GO:0001522,Solyc07g054460,Biological Process:pseudouridine synthesis
GO:0001522,Solyc11g008360,Biological Process:pseudouridine synthesis
GO:0001522,Solyc01g100400,Biological Process:pseudouridine synthesis
GO:0001522,Solyc05g053190,Biological Process:pseudouridine synthesis
GO:0001522,Solyc09g056260,Biological Process:pseudouridine synthesis
GO:0001522,Solyc04g072140,Biological Process:pseudouridine synthesis
GO:0001522,Solyc01g097600,Biological Process:pseudouridine synthesis
GO:0001522,Solyc01g097590,Biological Process:pseudouridine synthesis
GO:0001522,Solyc10g078540,Biological Process:pseudouridine synthesis
GO:0001522,Solyc07g017250,Biological Process:pseudouridine synthesis
GO:0001522,Solyc01g103560,Biological Process:pseudouridine synthesis
GO:0001522,Solyc01g107580,Biological Process:pseudouridine synthesis
GO:0001522,Solyc04g082070,Biological Process:pseudouridine synthesis
GO:0001522,Solyc02g093460,Biological Process:pseudouridine synthesis
GO:0001678,Solyc04g081400,Biological Process:intracellular glucose homeostasis
GO:0001678,Solyc11g065220,Biological Process:intracellular glucose homeostasis
GO:0001678,Solyc12g008510,Biological Process:intracellular glucose homeostasis
GO:0001678,Solyc06g066440,Biological Process:intracellular glucose homeostasis
GO:0001678,Solyc02g091830,Biological Process:intracellular glucose homeostasis
GO:0001678,Solyc03g121070,Biological Process:intracellular glucose homeostasis
GO:0001682,Solyc11g007800,Biological Process:tRNA 5'-leader removal
GO:0002084,Solyc08g078260,Biological Process:protein depalmitoylation
GO:0003333,Solyc11g006710,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc02g037510,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc05g008770,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc10g078470,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc08g078100,Biological Process:amino acid transmembrane transport
